	DịCH NGHĨA:.
文買阮據梁文路陶腔范文祿阮凍范伯鸞梁文俊阮文莫 高樓。	Văn Lộ, Đào Xoang, Phạm Văn Lộc, Nguyễn Đống, Phạm Bá Loan, Lương. Văn Tuấn, Nguyễn Văn Mặc, Cao Lâu thê Nguyễn Thị Xuân, Hoàng Thị.
妻阮氏春黄氏行阮氏泰阮氏坦阮氏 旦 阮氏琚阮氏挺武氏啟。	Hạnh, Nguyễn Thị Thái, Nguyễn Thị Thản, Nguyễn Thị Đán, Nguyễn Thị. Cư, Nguyễn Thị Đỉnh, Vũ Thị Khải, Nguyễn Thị Bặc, Lương Thị Tín, Bùi. Thị Lục, Lương Thị Sảng, Nguyễn Thị Oa, Bùi Thị Ni, Nguyễn Thị Chấp,. Nguyễn Thị Quan, Vũ Thị Đán, Lương Thị Ngọc, Lương Thị Công, Bùi.
阮氏蔔 梁氏信裴氏錄梁氏爽阮氏媧裴氏怩阮氏執阮氏官阮。	Thị Ất, Nguyễn Thị Bàng, Phạm Thị Áp, Nguyễn Thị Vy, Lương Thị Dự,. Nguyễn Thị Hòa, Nguyễn Thị Cô, Nguyễn Thị Mãn, Nguyễn Thị Doanh,. Nguyễn Thị Lễ, Nguyễn Thị Châu, Nguyễn Thị Dự, Nguyễn Thị Đỗ,. Nguyễn Thị Mộng, Nguyễn Thị Qua, Đào Thị Lũng, Lương Thị Quỳnh.
20。 ĐỖ THỊ HẢO (Chủ biên)。	Các lão bà công đức như sau: Lương Thị Thu, Đào Thị Ái, Nguyễn Thị.
氏旦梁氏玉梁氏公裴氏 阮氏滂范氏鴨阮氏胃 梁氏和阮氏。 姑阮氏滿阮氏盈阮氏禮阮氏珠阮氏譽阮氏杜阮氏夢鄭氏。	Phi, Nguyễn Thị Đam, Nguyễn Thị Thuyên, Nguyễn Thị Kế, Nguyễn Nhân. Anh, Trần Thị Tuy, Lê Thị Quân, Vũ Nhân Tha, Nguyễn Thị Nghiên.
戈 陶氏隴梁氏瓊。	1.
老婆 以下梁氏夫 陶氏愛 阮氏菲阮氏耽阮氏荃阮氏計。 阮仁英黎氏軍武仁他阮氏妍。	Đàn việt : Tín đồ theo đạo Phật. 26. ĐỖ THỊ HẢO (Chủ biên).
洪德萬萬年之二十二辛亥仲夏。	Năm Tân Hợi niên hiệu Hồng Đức thứ 22 (1491).
國子監國子生[. .	Giám sinh Quốc tử giám là … ] soạn.
. ] 撰。	Bia trùng tu chùa Phật.
南策府先明縣登來痙清富春蘭浦等社各仕娓重修 山。	Các sãi vãi của các xã Đăng Lai, Kinh Thanh, Phú Xuân, Lan Phố. thuộc huyện Tiên Minh, phủ Nam Sách cùng nhau sửa lại chùa Đót Sơn,.
寺塑繪三十相佛記銘。	tô vẽ tượng Phật gồm 30 pho, và làm bài minh như sau:.
咄山寺名。	Đót Sơn tên gọi,.
仕娓經營。	Sãi vãi dựng xây.
福基培長。 塑繪圓成。	Vẹn tròn tượng Phật,. Nền phúc căng đầy.
流傳永世。	Lưu truyền mãi mãi,.
共享康榮。	Cùng hưởng sum vầy.
以资功德。	Góp phần công đức,.
碑石記銘。	Khắc đá minh này.
一信主各施仕娓聞文睿該官賢良使字惠恩。 高文林義川百字惠延。	Tín chủ là sãi vãi các xã: Cao Văn Duệ (Cai quan tước Hiền Lương sứ,. tự là Huệ Ân); Cao Văn Lâm (tước Nghĩa Xuyên bá, tự Huệ Diên); Phạm. Xuân Khoái (tự Huệ Pháp); Phạm Đình Trường; Cao Khánh Diễn (tự Huyền.
范春快字惠法范廷長高慶演字玄珍阮文海大林伯范。	Trân); Nguyễn Văn Hải (tước Đại Lâm bá); Phạm Cảnh (tước Triều Dương. bá, tự Huyền Tiến); Trần Hoàng Dương; Nguyễn Bá Hân (tự Huệ An tỳ.
景朝陽伯字玄進陳黃陽阮伯昕字惠安比丘高富祿鄭文整阮。 福代春羅社黃子儀開溪伯阮有弟字玄文 阮有知字玄通高。	khưu ); Cao Phú Lộc; Trịnh Văn Chỉnh; Nguyễn Phúc Đại (người xã Xuân. Lai); Hoàng Tử Nghi (tước Khai Khê bá); Nguyễn Hữu Đệ (tự Huyền Văn);. Nguyễn Hữu Tri (tự Huyền Thông); Cao Đức Phú; Lương Công Phát, Phạm.
德富梁公發范氏玉陳仁義陶悟仙阮嘉祿馮養梁文景字福。	Thị Ngọc; Trần Nhân Nghĩa; Đào Ngộ Tiên; Nguyễn Gia Lộc; Phùng Dưỡng,. Lương Văn Cảnh (tự Phúc Quảng); Nguyễn Văn Đãi; Nguyễn Đắc Sự; Đào.
廣阮文待阮得事陶草老高文條高成鎮高氏青阮時序何文談。	Thảo Lão; Cao Văn Điều; Cao Thành Trấn; Cao Thị Thanh, Nguyễn Thì Tự;. Hà Văn Đàm; Nguyễn Công Đình; Cao Thế Hào; Ngô Văn Châu; Ngô Công.
阮公廷高世豪吳文州吳公斷梁福壯裴勸范世義吳文歌阮。 必貴范福來阮于乾。	Đoán; Lương Phúc Tráng, Bùi Khuyến; Phạm Thế Nghĩa; Ngô Văn Ca;. Nguyễn Tất Quý; Phạm Phúc Lai; Nguyễn Vu Càn. Những người tiến cúng như sau: Phạm Ngọc Đới (người xã Lập.
一信施以下范玉帶立外社美賢伯字玄慶。	Ngoại, tước Mỹ Hiền bá, tự Huyền Khánh).
劉氏途阮玄德阮有才范曰兵 道和阮文僚潘氏士高氏。	Lưu Thị Đồ, Nguyễn Huyền. Đức; Nguyễn Hữu Tài; Phạm Viết Binh, Đặng Đạo Hòa; Nguyễn Văn. *. .
店鄭氏新阮氏選梁氏玉枝阮氏拱阮氏穎高王非范氏史范文。	. 1. Liêu; Phan Thị Sỹ; Cao Thị Điểm ; Trịnh Thị Tân; Nguyễn Thị Tuyển;. VĂN BIA TIÊN LÃNG– HẢI PHÒNG.
達梁書陳球梁氏多阮氏行阮徹阮德儒阮暴范廷軍阮福嚴阮。	27. Lương Thị Ngọc Chi, Nguyễn Thị Củng; Nguyễn Thị Dĩnh; Cao Vương. Phi; Phạm Thị Sử; Phạm Văn Đạt; Lương Thư; Trần Cầu; Lương Thị Đa;. Nguyễn Thị Hành; Nguyễn Triệt; Nguyễn Đức Nho; Nguyễn Bạo, Phạm.
氏仙吳文佐阮氏丘高文陽陳氏貶高文常阮智謀高氏体阮文。	Đình Quân; Nguyễn Phúc Nghiêm; Nguyễn Thị Tiên; Ngô Văn Tá;. Nguyễn Thị Khâu; Cao Văn Đương; Trần Thị Biếm ; Cao Văn Thường;. Nguyễn Trí Mưu; Cao Thị Thể; Nguyễn Văn Đáng; Lương Khắc Thành;.
檔梁克成黃克敬阮福孟陳則敬阮福嶺鄧氏花阮金碑鄭氏序。	Hoàng Khắc Kính; Nguyễn Phúc Mạnh; Trần Tắc Kính; Nguyễn Phúc. Lãnh; Đặng Thị Hoa; Nguyễn Kim Bi, Trịnh Thị Tự; Cao Văn Điển, Cao.
高文典高文敦 阮福山陶多福范仁培阮文德范世雄武文員阮。	Văn Đôn; Nguyễn Phú Sơn; Đào Đa Phúc; Phạm Nhân Bồi; Nguyễn Văn. Đức; Phạm Thế Hùng; Vũ Văn Viên; Nguyễn Phúc Ninh; Nguyễn Đạo.
福寧阮道廉阮良心阮真良阮道衍阮道村潘純義阮道興黎文。	Liêm ; Nguyễn Lương Tâm; Nguyễn Chân Lương; Nguyễn Đạo Diễn;. Nguyễn Đạo Thôn; Phan Thuần Nghĩa; Nguyễn Đạo Hưng; Lê Văn Biện;.
辨裴遨遊范惠性阮蓬 純澤阮加富 武福源杜福先杜福加武。	Bùi Ngao Du; Phạm Huệ Tính; Nguyễn Bồng; Thuần Trạch; Nguyễn Gia. Phú; Vũ Phúc Nguyên; Đỗ Phúc Tiên; Đỗ Phúc Gia; Vũ Đạo Chính;.
道正阮德義阮勤福范文昭武氏憑 高世鍾陳氏條阮氏典阮氏。	Nguyễn Đức Nghĩa; Nguyễn Cần Phúc; Phạm Văn Chiêu; Nguyễn Huyền. Sử; Lương Văn Thanh; Nguyễn Thị Ngộ; Nguyễn Thị Đinh; Vũ Thị Bằng;. Cao Thế Chung; Trần Thị Điều; Nguyễn Thị Điển; Nguyễn Thị Diễn;.
演 陳文謂阮氏陽阮氏辨阮文通鄭義公陳氏當鄭敬誠阮文佐。	Trần Văn Vy; Nguyễn Thị Dương; Nguyễn Thị Biện; Nguyễn Văn Thông;. Trịnh Nghĩa Công; Trần Thị Đang; Trịnh Kính Thành; Nguyễn Văn Tá;.
梁士風高延壽。	Lương Sỹ Phong; Cao Diên Thọ.
歲次壬寅年六月 十五日重修。	Tu sửa xong vào ngày 15 tháng 6 năm Nhâm Dần.
義川伯高文林撰記。	Nghĩa Xuyên bá Cao Văn Lâm soạn ký.
